basis set,orca,gaussian
,STO-3G,STO-3G
,3-21G,3-21G
,3-21GSP,6-21G
,4-22GSP,4-31G
,6-31G,6-31G
,6-31G*,6-31G*
,6-31G**,6-31G**
,6-31+G,6-31+G
,6-31+G*,6-31+G*
,6-31+G**,6-31+G**
,6-31++G,6-31++G
,6-31++G*,6-31++G*
,6-31++G**,6-31++G**
,m6-31G,6-31G(d')
,6-311G,6-311G
,6-311G*,6-311G*
,6-311G**,6-311G**
,6-311+G,6-311+G
,6-311+G*,6-311+G*
,6-311+G**,6-311+G**
,6-311++G,6-311++G
,6-311++G*,6-311++G*
,6-311++G**,6-311++G**
,def2-SVP,"6-31G(d',p')"
,def2-SV(P),6-31G(d)
,def2-TZVP,"6-31G(d,p)"
,def2-TZVP(-f),6-31+G(d)
,def2-TZVPP,"6-31+G(d,p)"
,def2-QZVP,6-31++G(d)
,def2-QZVPP,"6-31++G(d,p)"
,SV,6-311G(d)
,SV(P),"6-311G(d,p)"
,SVP,6-311+G(d)
,TZV,"6-311+G(d,p)"
,TZV(P),6-311++G(d)
,TZVP,"6-311++G(d,p)"
,TZVPP,def2SV
,QZVP,def2SVP
,QZVPP,Def2SVPP
,ma-def2-SVP,def2TZV
,ma-def2-SV(P),def2TZVP
,ma-def2-TZVP,def2TZVPP
,ma-def2-TZVP(-f),def2QZV
,ma-def2-TZVPP,def2QZVP
,ma-def2-QZVPP,def2QZVPP
,def2-SVPD,SV
,def2-TZVPD,SVP
,def2-TZVPPD,TZV
,def2-QZVPD,TZVP
,def2-QZVPPD,QZVP
,cc-pVDZ,cc-pVDZ
,cc-pVTZ,cc-pVTZ
,cc-pVQZ,cc-pVQZ
,cc-pV5Z,cc-pV5Z
,cc-pV6Z,cc-pV6Z
,aug-cc-pVDZ,aug-cc-pVDZ
,aug-cc-pVTZ,aug-cc-pVTZ
,aug-cc-pVQZ,aug-cc-pVQZ
,aug-cc-pV5Z,aug-cc-pV5Z
,aug-cc-pV6Z,aug-cc-pV6Z
,,D95V
,,D95
,,SHC
,,CEP-4G
,,CEP-31G
,,CEP-121G
,,LanL2MB
,,LanL2DZ
,,SDD
,,SHF
,,SDF
,,MHF
,,MDF
,,MWB
,,SDDAll
,,MidiX
,,EPR-II
,,EPR-III
,,UGBS
,,MTSmall
,,DGDZVP
,,DGDZVP2
,,DGTZVP
,,CBSB7
