,cross,para,-1-2-,-2-3-,-2-9-,-1-10-,-9-16-,-17-18-,-18-19-,-18-20-,Dist_1-2,Dist_2-3,Dist_2-9,Dist_18-20,Dist_16-17,Dist_10-17,dip_x,dip_y,dip_z,B1,B5,L,output
Ph,1673.9294,1644.2966,1386.8303,1408.8716,1386.8303,3882.0603,3868.1685,1822.5005,1822.5005,1676.1444,1.372736803,1.562275812,1.365556696,1.480703147,2.479340193,2.747377446,-3.1434,-0.9304,1.8449,1.7,3.16,6.83,0.748188027
m_F,1682.7095,1654.8152,1388.1656,1409.9846,1388.1656,3883.0076,3868.4737,1822.4708,1822.4708,1822.4708,1.370784953,1.565014657,1.364064069,1.480897983,2.490305545,2.710783267,3.9296,-0.7684,-1.1232,1.7,3.72,6.83,1.066325925
m_Me,1675.4523,1651.0696,1387.9945,1387.9945,1387.9945,3884.2761,3874.158,1824.5392,1824.5392,1824.5392,1.372383005,1.562321916,1.366233978,1.480892914,2.495676935,2.726944186,2.7469,-0.9484,-2.4256,1.7,4.39,6.81,0.711807229
m_naph,1644.1748,1705.3141,1375.155,1407.6436,1375.155,3885.7536,1375.155,1823.2243,1823.2243,1823.2243,1.371950113,1.561740413,1.365942184,1.48047123,2.478945857,2.725682004,-2.7156,-0.6354,2.2823,1.7,4.43,8.89,1.006466042
m_tfm,1682.5356,1663.3317,1401.5558,1415.6171,1415.6171,3883.3475,3869.0302,1822.4098,1822.4098,1822.4098,1.369186842,1.565736366,1.36356536,1.481097634,2.498606138,2.708387063,-4.7066,-0.4959,-0.5354,1.78,4.85,7.43,1.025305865
mm_F,1690.4356,1666.0158,1411.7755,1493.4601,1411.7755,1411.7755,3868.0986,1823.2373,1823.2373,1823.2373,1.368515548,1.567574182,1.3627414,1.481005196,2.467971917,2.701396727,-5.2914,1.2781,-0.7682,1.7,3.71,6.83,0.802773725
mm_oMe,1679.933,1648.0589,1411.4827,1411.4827,1402.1951,1411.4827,1411.4827,1824.7073,1824.7073,1824.7073,1.371349571,1.565340691,1.36535617,1.481279394,2.512664013,2.734479116,-1.2477,2.0009,-0.5862,1.7,4.57,7.58,0.788875116
o_F,1684.4892,1645.7197,1387.825,1387.825,1387.825,3877.7151,3870.9312,1823.8822,1823.8822,1654.202,1.366596344,1.567767687,1.366943517,1.481665967,2.503980294,2.745723224,2.6031,-0.9307,-0.7328,1.7,3.7,6.85,1.066325925
o_Me,1671.2558,1638.1423,1382.5712,1393.5891,1382.5712,3876.3869,3869.8512,1823.2192,1823.2192,1654.6333,1.373534434,1.567654137,1.36883129,1.480737265,2.463748961,2.736110253,3.2129,-0.5664,-2.1814,1.74,5.25,6.82,0.653212514
op_Me,1679.8405,1626.1743,1377.6015,1390.3247,1377.6015,1390.3247,3871.7022,1823.824,1823.824,1652.9541,1.374604392,1.56471286,1.369681408,1.480762061,2.439692623,2.76700526,3.2495,0.6075,1.3038,1.74,5.28,7.75,0.525044807
p_F,1674.8704,1656.6209,1387.3683,1405.4559,1387.3683,1405.4559,1387.3683,1421.6328,1822.3335,1822.3335,1.372543836,1.560321435,1.365432809,1.480753087,2.494816175,2.709735022,-4.7296,0.2694,-1.5786,1.7,3.14,7.41,0.829303773
p_Me,1631.5529,1683.0035,1386.3046,1562.0507,1386.3046,3884.9719,3871.3101,1823.8479,1823.8479,1823.8479,1.373318379,1.559942016,1.366643236,1.480777672,2.44533271,2.776447325,-3.0893,1.1358,-1.1076,1.7,3.17,7.75,0.574031268
p_MeO,1635.7921,1677.5377,1385.7375,1404.704,1404.704,1404.704,1385.7375,1421.9586,1824.4438,1824.4438,1.374707477,1.555614725,1.367670971,1.480673089,2.446099,2.778251763,-2.7495,0.9063,-2.6957,1.7,3.21,8.86,0.511883361
p_tBu,1622.4238,1680.1761,1386.0574,1386.0574,1386.0574,3884.5498,1386.0574,1824.1175,1824.1175,1824.1175,1.373817248,1.559742489,1.366725967,1.480790015,2.448382177,2.747405834,2.9467,-0.0997,1.7518,2.66,5.32,9.03,0.544068044
p_tfm,1690.9687,1642.1848,1392.8153,1452.6887,1392.8153,3880.3623,3865.9787,1821.9495,1821.9495,1655.4881,1.370054975,1.566554868,1.363238828,1.480932782,2.475098201,2.714565247,6.115,-0.6617,1.6994,2.11,3.15,8.16,0.550228353
