,flag,-2-3-,-2-7-,class
o_fluoro,1,1832.9322,3019.0117,1
m_bromo,2,1845.5642,2961.2319,1
m_chloro,3,1845.7037,2963.3397,1
m_cyano,4,1848.8381,2969.4907,1
m_fluoro,5,1846.3146,2963.0286,1
m_iodo,6,1844.8682,2962.834,1
m_methyl_formyl,7,1845.3263,2966.3043,1
m_trifluoromethyl,8,1846.4702,2963.9021,1
p_bromo,9,1842.0113,2963.8591,1
p_chloro,10,1840.6704,2960.0426,1
p_cyano,11,1847.56,2969.5513,1
p_fluoro,12,1840.1692,2953.871,1
p_iodo,13,1842.1611,2965.6107,1
p_methyl_formyl,14,1845.6279,2963.8384,1
p_trifluoromethyl,15,1847.2682,2968.3094,1
mm_dibromo,16,1848.7914,2966.4746,1
mm_dichloro,17,1848.6722,2971.5697,1
epiandrosterone,18,1842.9484,2964.687,1
quinoline,19,1839.1209,3025.1439,1
benzo_thiophene,20,1827.5213,2979.2116,1
diacetone_glucose,21,1843.971,2959.3217,1
thiophene,22,1823.4521,2970.6716,1
o_bromo,23,1832.7758,3034.4686,2
o_chloro,24,1832.0792,3037.969,2
o_ethynyl,25,1834.7119,3014.4991,2
o_hydroxy,26,1825.5488,3023.0306,2
o_methoxy,27,1823.2952,3035.1126,2
o_methyl,28,1829.4622,2994.2139,2
o_trifluoro,29,1837.2174,3047.5416,2
o_trifluoromethoxy,30,1832.5363,3030.545,2
m_methyl,31,1839.7537,2953.9132,2
m_methoxy,32,1843.0276,2945.5068,2
m_oBoc,33,1843.8402,2961.1773,2
p_diethoxymethyl,34,1840.7164,2958.7235,2
p_isopropyl,35,1837.1635,2954.4548,2
p_methoxy,36,1832.6651,2950.0894,2
p_methyl,37,1837.4591,2950.3409,2
pregnenolone,38,1843.595,2957.1376,2
dibenzo_furan,39,1832.877,3012.4804,2
menthol,40,1842.429,2964.5608,2
ibuprofen,41,1843.8341,2957.8269,2
benzo_dioxole,42,1831.5472,2997.7953,2
naproxene,43,1843.6855,2956.3588,2
naphthaldehyde,44,1826.1523,3019.1042,2
o_phenyl,45,1826.985,3012.1209,3
o_nbutoxy,46,1821.6811,3025.6326,3
o_iodo,47,1833.0087,3025.5626,3
o_secbutoxy,48,1821.5925,3026.8615,3
p_hydroxy,49,1832.6327,2949.6527,3
indole,50,1829.1069,2967.2308,3
phenanthrene,51,1826.2919,3019.86,3
ethyl_carbazole,52,1827.832,2948.2939,3
phenylsulfonyl_pyrrole,53,1812.6931,3043.399,3
pyrrole,54,1825.5548,2922.4157,3
methyl_indole,55,1806.7963,2940.8705,3
